entity_id,state,last_changed
sensor.solarbank_3_e2700_pro_ac_hausabgabe,255,2025-11-22T08:04:57.557Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,241,2025-11-22T08:05:57.626Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,240,2025-11-22T08:06:58.562Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,234,2025-11-22T08:07:58.568Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,239,2025-11-22T08:08:58.562Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,220,2025-11-22T08:14:24.645Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,228,2025-11-22T08:18:26.594Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,225,2025-11-22T08:22:28.576Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,226,2025-11-22T08:24:54.594Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,225,2025-11-22T08:25:54.583Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,224,2025-11-22T08:26:54.739Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,270,2025-11-22T08:28:55.590Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,223,2025-11-22T08:34:23.395Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,253,2025-11-22T08:38:23.576Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,404,2025-11-22T08:44:49.395Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,unavailable,2025-11-22T08:47:51.453Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,190,2025-11-22T08:48:51.639Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,200,2025-11-22T08:53:52.577Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,232,2025-11-22T08:59:18.579Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,237,2025-11-22T09:04:20.583Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,800,2025-11-22T09:08:46.621Z
sensor.solarbank_3_e2700_pro_ac_hausabgabe,224,2025-11-22T09:24:14.594Z
